url,name,brand,price,currency,availability,sku,rating_value,review_count
https://www.ikea.com/us/en/p/aengsnejlika-duvet-cover-and-pillowcase-s-dark-blue-light-blue-10585355/,ÄNGSNEJLIKA Duvet cover and pillowcase(s) - dark blue/light blue King,IKEA,N/A,USD,N/A,N/A,4.6,188
https://www.ikea.com/us/en/p/aengspalpmal-cushion-cover-white-floral-pattern-50598676/,"ÄNGSPALPMAL Cushion cover - white/floral pattern 20x20 """,IKEA,5.99,USD,InStock,N/A,5,15
https://www.ikea.com/us/en/p/aenkeblomster-wine-glass-clear-glass-60591839/,ÄNKEBLOMSTER Wine glass - clear glass 8 oz,IKEA,1.79,USD,InStock,N/A,4.7,160
https://www.ikea.com/us/en/p/aepplaryd-loveseat-djuparp-dark-blue-30504278/,ÄPPLARYD Loveseat - Djuparp dark blue,IKEA,1299,USD,InStock,N/A,4.3,141
https://www.ikea.com/us/en/p/aepplaryd-loveseat-gunnared-black-gray-80575065/,ÄPPLARYD Loveseat - Gunnared black/gray,IKEA,1099,USD,InStock,N/A,4.3,142
https://www.ikea.com/us/en/p/aepplaryd-loveseat-lejde-gray-black-80506232/,ÄPPLARYD Loveseat - Lejde gray/black,IKEA,1099,USD,InStock,N/A,4.3,141
https://www.ikea.com/us/en/p/aertbuske-vase-watering-can-bright-green-60537654/,"ÄRTBUSKE Vase/watering can - bright green 9 ½ """,IKEA,19.99,USD,InStock,N/A,4.8,126
https://www.ikea.com/us/en/p/aesperoed-side-table-black-glass-black-10462180/,"ÄSPERÖD Side table - black/glass black 17 3/4 """,IKEA,89.99,USD,InStock,N/A,4.6,134
https://www.ikea.com/us/en/p/aftonsparv-5-piece-finger-puppet-set-multicolor-20551642/,AFTONSPARV 5-piece finger puppet set - multicolor,IKEA,9.99,USD,InStock,N/A,4.6,42
https://www.ikea.com/us/en/p/aftonsparv-desk-pad-space-blue-80554063/,"AFTONSPARV Desk pad - space/blue 14 3/4x23 5/8 """,IKEA,9.99,USD,InStock,N/A,5,12
https://www.ikea.com/us/en/p/aftonsparv-duvet-cover-and-pillowcase-s-space-multicolor-90554053/,AFTONSPARV Duvet cover and pillowcase(s) - space/multicolor Twin,IKEA,N/A,USD,N/A,N/A,4.8,86
